; Lowrider Race - generated by tools/maketrack.py, safe to hand-edit.
; Every cp is a real on-road position from scriptfiles/vehicles/.
name Lowrider Race
vehicle 536
laps 1
start 2829.7585,-1699.7444,9.7443,165.9035
cp 2825.0059,-1718.6702,9.8159,16.0
cp 2792.6982,-1432.1294,19.9428,16.0
cp 2430.6926,-1220.7517,24.9012,16.0
cp 2161.8665,-1148.1637,24.0918,16.0
cp 1910.2012,-1117.5193,25.4453,16.0
cp 1500.1357,-1487.4355,13.3556,16.0
cp 1536.6632,-1846.7765,13.2712,16.0
cp 1662.7777,-2110.7148,13.2900,16.0
cp 1793.3020,-2149.7551,13.2392,16.0
cp 2208.1824,-2296.9404,15.3708,16.0
cp 2572.6416,-2240.2261,13.4192,16.0
cp 2685.3967,-2021.3516,13.2650,16.0
