; LV Ringroad - generated by tools/maketrack.py, safe to hand-edit.
; Every cp is a real on-road position from scriptfiles/vehicles/.
name LV Ringroad
vehicle 411
laps 2
start 2600.0813,1691.2465,10.4108,252.3688
cp 2631.7998,1681.1658,10.4784,18.0
cp 2812.9854,2026.3202,10.5870,18.0
cp 2537.9023,2397.2529,3.8906,18.0
cp 2349.0527,2578.4849,10.6135,18.0
cp 1900.4618,2437.4229,10.4740,18.0
cp 1519.2012,2291.0112,10.6331,18.0
cp 1117.3785,2112.5374,10.8094,18.0
cp 1113.0669,1726.9880,10.4451,18.0
cp 1332.6006,1159.0437,10.6290,18.0
cp 1451.7877,976.0687,10.4987,18.0
cp 1852.8835,698.9276,11.0089,18.0
cp 2168.8989,695.7342,11.4583,18.0
cp 2683.3469,908.7888,10.4567,18.0
cp 2782.1956,1295.4828,10.6250,18.0
