; City Circuit - generated by tools/maketrack.py, safe to hand-edit.
; Every cp is a real on-road position from scriptfiles/vehicles/.
name City Circuit
vehicle 541
laps 2
start 2501.3005,-1685.7114,13.2052,311.5455
cp 2516.5413,-1672.2059,13.6568,18.0
cp 2426.9795,-1241.6071,24.0514,18.0
cp 2200.8208,-1000.4743,62.1100,18.0
cp 2032.1614,-966.3978,40.8893,18.0
cp 1518.6567,-688.1443,94.3202,18.0
cp 1108.8185,-732.7200,100.2283,18.0
cp 846.9828,-905.6497,68.3458,18.0
cp 569.1940,-1264.3147,16.4483,18.0
cp 494.3372,-1604.7161,18.2000,18.0
cp 740.4370,-1793.5476,12.9180,18.0
cp 1251.2297,-2042.1305,59.4474,18.0
cp 1365.7269,-2351.5515,13.1069,18.0
cp 1560.0939,-2243.5127,13.1179,18.0
cp 2189.0393,-2649.3572,13.9833,18.0
cp 2208.1824,-2296.9404,15.3708,18.0
cp 2349.1824,-2000.2684,13.2666,18.0
