; Badlands - generated by tools/maketrack.py, safe to hand-edit.
; Every cp is a real on-road position from scriptfiles/vehicles/.
name Badlands
vehicle 495
laps 1
start 1586.3274,38.5556,24.6067,125.7245
cp 1547.5862,10.6921,23.7739,20.0
cp 1414.2616,248.6772,19.2239,20.0
cp 1249.8207,338.2164,19.6291,20.0
cp 747.8585,346.7843,20.1559,20.0
cp 221.6420,30.1998,3.1849,20.0
cp -127.1731,55.7261,4.0943,20.0
cp -194.7877,-196.3295,2.0529,20.0
cp -219.3871,-906.6091,40.6608,20.0
cp -39.6653,-1149.7799,1.0409,20.0
cp 622.2627,-610.1340,17.3154,20.0
cp 797.4796,-607.9578,16.5112,20.0
cp 1112.7650,-306.5776,73.9655,20.0
