; Little Loop - generated by tools/maketrack.py, safe to hand-edit.
; Every cp is a real on-road position from scriptfiles/vehicles/.
name Little Loop
vehicle 429
laps 2
start 1809.4696,-1432.1268,13.0139,340.0478
cp 1819.8600,-1403.5051,13.1363,15.0
cp 1781.8600,-1701.3483,13.5957,15.0
cp 1423.8417,-1845.0616,13.4772,15.0
cp 1196.9360,-1829.6980,13.1197,15.0
cp 989.3703,-1589.3812,13.0903,15.0
cp 979.2278,-1258.1351,16.8071,15.0
cp 1137.6492,-1025.5586,31.5121,15.0
cp 1455.1505,-920.9677,37.4997,15.0
cp 1726.2168,-1085.2207,23.6669,15.0
